State,RequiredAssessmentforpreK,Year,state_abbrev,state_fips,_merge
ALABAMA,Multiple Assessments,2007,AL,1,matched (3)
ALASKA,NA,2007,AK,2,matched (3)
ARIZONA,Multiple Assessments,2007,AZ,4,matched (3)
ARKANSAS,Work Sampling System,2007,AR,5,matched (3)
CALIFORNIA,Desired Results Developmental Profile (DRDP),2007,CA,6,matched (3)
COLORADO,Multiple Assessments,2007,CO,8,matched (3)
CONNECTICUT,Multiple Assessments,2007,CT,9,matched (3)
DELAWARE,Multiple Assessments,2007,DE,10,matched (3)
DISTRICT OF COLUMBIA,NA,2007,DC,11,matched (3)
FLORIDA,NA,2007,FL,12,matched (3)
GEORGIA,Georgia Pre-K Child Assessment,2007,GA,13,matched (3)
HAWAII,NA,2007,HI,15,matched (3)
IDAHO,NA,2007,ID,16,matched (3)
ILLINOIS,Multiple Assessments,2007,IL,17,matched (3)
INDIANA,NA,2007,IN,18,matched (3)
IOWA,Required assessment instruments are determined locally,2007,IA,19,matched (3)
KANSAS,Required assessment instruments are determined locally,2007,KS,20,matched (3)
KENTUCKY,Required assessment instruments are determined locally,2007,KY,21,matched (3)
LOUISIANA,Developing Skills Checklist,2007,LA,22,matched (3)
MAINE,Required assessment instruments are determined locally,2007,ME,23,matched (3)
MARYLAND,NA,2007,MD,24,matched (3)
MASSACHUSETTS,Multiple Assessments,2007,MA,25,matched (3)
MICHIGAN,Multiple Assessments,2007,MI,26,matched (3)
MINNESOTA,NA,2007,MN,27,matched (3)
MISSISSIPPI,NA,2007,MS,28,matched (3)
MISSOURI,Preschool Exit Observational Assessment,2007,MO,29,matched (3)
MONTANA,NA,2007,MT,30,matched (3)
NEBRASKA,Multiple Assessments,2007,NE,31,matched (3)
NEVADA,Multiple Assessments,2007,NV,32,matched (3)
NEW HAMPSHIRE,NA,2007,NH,33,matched (3)
NEW JERSEY,Performance-based assessment,2007,NJ,34,matched (3)
NEW MEXICO,New Mexico PreK Observational Assessment ,2007,NM,35,matched (3)
NEW YORK,Required assessment instruments are determined locally,2007,NY,36,matched (3)
NORTH CAROLINA,Multiple Assessments,2007,NC,37,matched (3)
NORTH DAKOTA,NA,2007,ND,38,matched (3)
OHIO,Kindergarten Readiness Assessment-Literacy,2007,OH,39,matched (3)
OKLAHOMA,Required assessment instruments are determined locally,2007,OK,40,matched (3)
OREGON,Required assessment instruments are determined locally,2007,OR,41,matched (3)
PENNSYLVANIA,Required assessment instruments are determined locally,2007,PA,42,matched (3)
RHODE ISLAND,NA,2007,RI,44,matched (3)
SOUTH CAROLINA,Required assessment instruments are determined locally,2007,SC,45,matched (3)
SOUTH DAKOTA,NA,2007,SD,46,matched (3)
TENNESSEE,NA,2007,TN,47,matched (3)
TEXAS,NA,2007,TX,48,matched (3)
UTAH,NA,2007,UT,49,matched (3)
VERMONT,Required assessment instruments are determined locally,2007,VT,50,matched (3)
VIRGINIA,Phonological Awareness Literacy Screening (PALS),2007,VA,51,matched (3)
WASHINGTON,Required assessment instruments are determined locally,2007,WA,53,matched (3)
WEST VIRGINIA,Online assessment for Creative Curriculum,2007,WV,54,matched (3)
WISCONSIN,NA,2007,WI,55,matched (3)
WYOMING,NA,2007,WY,56,matched (3)
ALABAMA,Required assessment instruments are determined locally,2008,AL,1,matched (3)
ALASKA,NA,2008,AK,2,matched (3)
ARIZONA,Multiple Assessments,2008,AZ,4,matched (3)
ARKANSAS,Work Sampling System,2008,AR,5,matched (3)
CALIFORNIA,Desired Results Developmental Profile (DRDP),2008,CA,6,matched (3)
COLORADO,Multiple Assessments,2008,CO,8,matched (3)
CONNECTICUT,Required assessment instruments are determined locally,2008,CT,9,matched (3)
DELAWARE,Multiple Assessments,2008,DE,10,matched (3)
DISTRICT OF COLUMBIA,NA,2008,DC,11,matched (3)
FLORIDA,NA,2008,FL,12,matched (3)
GEORGIA,Georgia Pre-K Child Assessment,2008,GA,13,matched (3)
HAWAII,NA,2008,HI,15,matched (3)
IDAHO,NA,2008,ID,16,matched (3)
ILLINOIS,Required assessment instruments are determined locally,2008,IL,17,matched (3)
INDIANA,NA,2008,IN,18,matched (3)
IOWA,Required assessment instruments are determined locally,2008,IA,19,matched (3)
KANSAS,Required assessment instruments are determined locally,2008,KS,20,matched (3)
KENTUCKY,Required assessment instruments are determined locally,2008,KY,21,matched (3)
LOUISIANA,Developing Skills Checklist,2008,LA,22,matched (3)
MAINE,Required assessment instruments are determined locally,2008,ME,23,matched (3)
MARYLAND,NA,2008,MD,24,matched (3)
MASSACHUSETTS,Multiple Assessments,2008,MA,25,matched (3)
MICHIGAN,Multiple Assessments,2008,MI,26,matched (3)
MINNESOTA,Required assessment instruments are determined locally,2008,MN,27,matched (3)
MISSISSIPPI,NA,2008,MS,28,matched (3)
MISSOURI,Preschool Exit Observational Assessment,2008,MO,29,matched (3)
MONTANA,NA,2008,MT,30,matched (3)
NEBRASKA,Multiple Assessments,2008,NE,31,matched (3)
NEVADA,Multiple Assessments,2008,NV,32,matched (3)
NEW HAMPSHIRE,NA,2008,NH,33,matched (3)
NEW JERSEY,Performance-based assessment,2008,NJ,34,matched (3)
