"year","serial","month","hwtfinl","cpsid","asecflag","hflag","asecwth","pernum","wtfinl","cpsidv","cpsidp","asecwt","age","sex","race","diffany","edgrade","edgrdly","category","category_2","retention_status","difficulty_status","enrolled_kindergarten","enrolled_preschool"
2007,26,10,1179.8117,20060801074600,NA,NA,NA,3,933.2662,200608010746041,20060801074604,NA,5,1,100,NA,101,20,"Kindergarten","Others","Not Retended",NA,"Yes","No"
2007,82,10,3123.545,20070702130500,NA,NA,NA,4,2673.3115,200707021305031,20070702130503,NA,5,1,100,NA,22,10,"Nursery (pre-school, pre-kindergarten)","Kindergarten full-day","Not Retended",NA,"Yes","Yes"
2007,102,10,1258.4873,20070901854200,NA,NA,NA,4,929.3822,200709018542041,20070901854204,NA,5,1,100,NA,22,10,"Nursery (pre-school, pre-kindergarten)","Kindergarten full-day","Not Retended",NA,"Yes","Yes"
2007,196,10,2841.4345,20070703737600,NA,NA,NA,4,2817.0105,200707037376031,20070703737603,NA,5,1,100,NA,21,10,"Nursery (pre-school, pre-kindergarten)","Kindergarten part-day","Not Retended",NA,"Yes","Yes"
2007,286,10,3324.2093,20070904713900,NA,NA,NA,4,2491.3394,200709047139041,20070904713904,NA,5,1,100,NA,11,10,"Nursery (pre-school, pre-kindergarten)","Nursery (pre-school, pre-K) part-day","Retended",NA,"No","Yes"
2007,292,10,1331.9239,20070903276300,NA,NA,NA,7,1151.7019,200709032763071,20070903276307,NA,5,1,200,NA,101,10,"Nursery (pre-school, pre-kindergarten)","Others","Not Retended",NA,"No","Yes"
2007,342,10,3388.2515,20070904358700,NA,NA,NA,3,3453.1773,200709043587031,20070904358703,NA,5,1,100,NA,11,10,"Nursery (pre-school, pre-kindergarten)","Nursery (pre-school, pre-K) part-day","Retended",NA,"No","Yes"
2007,456,10,473.3999,20070901434600,NA,NA,NA,5,511.6219,200709014346051,20070901434605,NA,5,2,100,NA,22,10,"Nursery (pre-school, pre-kindergarten)","Kindergarten full-day","Not Retended",NA,"Yes","Yes"
2007,474,10,1689.5857,20070703479100,NA,NA,NA,3,2282.9949,200707034791031,20070703479103,NA,5,1,651,NA,22,10,"Nursery (pre-school, pre-kindergarten)","Kindergarten full-day","Not Retended",NA,"Yes","Yes"
2007,531,10,3047.02,20060800006200,NA,NA,NA,2,3070.0423,200608000062022,20060800006202,NA,5,1,200,NA,12,10,"Nursery (pre-school, pre-kindergarten)","Nursery (pre-school, pre-K) full-day","Retended",NA,"No","Yes"
2007,570,10,2276.7198,20060800024100,NA,NA,NA,3,2448.1015,200608000241021,20060800024102,NA,5,2,200,NA,22,10,"Nursery (pre-school, pre-kindergarten)","Kindergarten full-day","Not Retended",NA,"Yes","Yes"
2007,636,10,1057.0321,20070701162200,NA,NA,NA,4,1038.2499,200707011622021,20070701162202,NA,5,2,100,NA,11,10,"Nursery (pre-school, pre-kindergarten)","Nursery (pre-school, pre-K) part-day","Retended",NA,"No","Yes"
2007,652,10,1168.5957,20071000065200,NA,NA,NA,3,1300.8434,200710000652031,20071000065203,NA,5,1,100,NA,22,10,"Nursery (pre-school, pre-kindergarten)","Kindergarten full-day","Not Retended",NA,"Yes","Yes"
2007,653,10,900.8677,20071000065300,NA,NA,NA,5,1062.9596,200710000653051,20071000065305,NA,5,2,100,NA,22,10,"Nursery (pre-school, pre-kindergarten)","Kindergarten full-day","Not Retended",NA,"Yes","Yes"
2007,682,10,378.9926,20060801248400,NA,NA,NA,4,589.2035,200608012484031,20060801248403,NA,5,1,100,NA,22,10,"Nursery (pre-school, pre-kindergarten)","Kindergarten full-day","Not Retended",NA,"Yes","Yes"
2007,709,10,807.012,20070801311300,NA,NA,NA,3,666.007,200708013113031,20070801311303,NA,5,1,200,NA,21,10,"Nursery (pre-school, pre-kindergarten)","Kindergarten part-day","Not Retended",NA,"Yes","Yes"
2007,809,10,453.4142,20070701337000,NA,NA,NA,5,448.2742,200707013370031,20070701337003,NA,5,2,200,NA,21,20,"Kindergarten","Kindergarten part-day","Not Retended",NA,"Yes","No"
2007,846,10,470.6955,20060701325600,NA,NA,NA,2,448.2742,200607013256031,20060701325603,NA,5,2,200,NA,12,10,"Nursery (pre-school, pre-kindergarten)","Nursery (pre-school, pre-K) full-day","Retended",NA,"No","Yes"
2007,1071,10,3180.3843,20070801637800,NA,NA,NA,3,3502.7038,200708016378031,20070801637803,NA,5,1,100,NA,22,10,"Nursery (pre-school, pre-kindergarten)","Kindergarten full-day","Not Retended",NA,"Yes","Yes"
2007,1071,10,3180.3843,20070801637800,NA,NA,NA,4,3655.7505,200708016378041,20070801637804,NA,5,2,100,NA,22,10,"Nursery (pre-school, pre-kindergarten)","Kindergarten full-day","Not Retended",NA,"Yes","Yes"
2007,1080,10,3254.0854,20070902352600,NA,NA,NA,3,3343.9104,200709023526031,20070902352603,NA,5,2,100,NA,22,10,"Nursery (pre-school, pre-kindergarten)","Kindergarten full-day","Not Retended",NA,"Yes","Yes"
2007,1109,10,3918.8976,20071000110900,NA,NA,NA,3,5835.5179,200710001109031,20071000110903,NA,5,2,100,NA,22,10,"Nursery (pre-school, pre-kindergarten)","Kindergarten full-day","Not Retended",NA,"Yes","Yes"
2007,1142,10,2178.0754,20070701885300,NA,NA,NA,2,2932.7578,200707018853021,20070701885302,NA,5,1,810,NA,22,10,"Nursery (pre-school, pre-kindergarten)","Kindergarten full-day","Not Retended",NA,"Yes","Yes"
2007,1148,10,2647.6102,20070901004400,NA,NA,NA,3,3270.3872,200709010044031,20070901004403,NA,5,1,100,NA,22,10,"Nursery (pre-school, pre-kindergarten)","Kindergarten full-day","Not Retended",NA,"Yes","Yes"
2007,1160,10,2966.7361,20070801773400,NA,NA,NA,3,2504.4233,200708017734021,20070801773402,NA,5,2,100,NA,22,10,"Nursery (pre-school, pre-kindergarten)","Kindergarten full-day","Not Retended",NA,"Yes","Yes"
2007,1178,10,3302.1958,20070701846500,NA,NA,NA,3,3773.1564,200707018465032,20070701846503,NA,5,1,200,NA,11,10,"Nursery (pre-school, pre-kindergarten)","Nursery (pre-school, pre-K) part-day","Retended",NA,"No","Yes"
2007,1190,10,2854.3174,20060801773400,NA,NA,NA,4,2504.4233,200608017734041,20060801773404,NA,5,2,100,NA,22,10,"Nursery (pre-school, pre-kindergarten)","Kindergarten full-day","Not Retended",NA,"Yes","Yes"
2007,1213,10,3103.4936,20060801837200,NA,NA,NA,2,3177.7959,200608018372021,20060801837202,NA,5,1,100,NA,22,10,"Nursery (pre-school, pre-kindergarten)","Kindergarten full-day","Not Retended",NA,"Yes","Yes"
2007,1342,10,567.5451,20071000134200,NA,NA,NA,5,566.7969,200710001342051,20071000134205,NA,5,2,100,NA,22,10,"Nursery (pre-school, pre-kindergarten)","Kindergarten full-day","Not Retended",NA,"Yes","Yes"
2007,1392,10,487.2468,20070802875000,NA,NA,NA,4,456.8541,200708028750031,20070802875003,NA,5,2,100,NA,22,10,"Nursery (pre-school, pre-kindergarten)","Kindergarten full-day","Not Retended",NA,"Yes","Yes"
2007,1428,10,1448.5623,20070803061600,NA,NA,NA,3,1770.6985,200708030616031,20070803061603,NA,5,2,100,NA,22,10,"Nursery (pre-school, pre-kindergarten)","Kindergarten full-day","Not Retended",NA,"Yes","Yes"
2007,1539,10,2422.7068,20070906023500,NA,NA,NA,4,2489.3783,200709060235041,20070906023504,NA,5,2,200,NA,22,10,"Nursery (pre-school, pre-kindergarten)","Kindergarten full-day","Not Retended",NA,"Yes","Yes"
2007,1547,10,1638.4063,20060702969900,NA,NA,NA,4,1839.5765,200607029699021,20060702969902,NA,5,2,100,NA,101,20,"Kindergarten","Others","Not Retended",NA,"Yes","No"
2007,1555,10,3161.851,20060703225100,NA,NA,NA,3,3093.1416,200607032251063,20060703225106,NA,5,1,100,NA,101,20,"Kindergarten","Others","Not Retended",NA,"Yes","No"
2007,1628,10,2959.5069,20070901071300,NA,NA,NA,4,3059.2479,200709010713041,20070901071304,NA,5,2,100,NA,22,10,"Nursery (pre-school, pre-kindergarten)","Kindergarten full-day","Not Retended",NA,"Yes","Yes"
2007,1683,10,3352.4076,20070905422200,NA,NA,NA,4,3225.7985,200709054222041,20070905422204,NA,5,1,100,NA,22,10,"Nursery (pre-school, pre-kindergarten)","Kindergarten full-day","Not Retended",NA,"Yes","Yes"
2007,1770,10,2942.0412,20060803249600,NA,NA,NA,5,1739.2078,200608032496031,20060803249603,NA,5,1,804,NA,21,10,"Nursery (pre-school, pre-kindergarten)","Kindergarten part-day","Not Retended",NA,"Yes","Yes"
2007,1783,10,5023.7215,20071000178300,NA,NA,NA,3,3425.6816,200710001783031,20071000178303,NA,5,1,200,NA,101,20,"Kindergarten","Others","Not Retended",NA,"Yes","No"
2007,1828,10,474.4955,20070804115900,NA,NA,NA,5,486.9513,200708041159031,20070804115903,NA,5,1,100,NA,21,20,"Kindergarten","Kindergarten part-day","Not Retended",NA,"Yes","No"
2007,1847,10,2692.8094,20070704379100,NA,NA,NA,3,2241.075,200707043791041,20070704379104,NA,5,1,100,NA,22,10,"Nursery (pre-school, pre-kindergarten)","Kindergarten full-day","Not Retended",NA,"Yes","Yes"
2007,1876,10,3083.8362,20060905962200,NA,NA,NA,3,3357.7304,200609059622031,20060905962203,NA,5,1,100,NA,22,10,"Nursery (pre-school, pre-kindergarten)","Kindergarten full-day","Not Retended",NA,"Yes","Yes"
